graph_id,src,dst,connectivity
0,0,4,1
0,1,4,1
0,1,5,1
0,2,4,1
0,3,4,1
0,3,5,1
0,4,0,1
0,4,1,1
0,4,2,1
0,4,3,1
0,4,6,1
0,4,17,2
0,5,1,1
0,5,3,1
0,6,4,1
0,7,14,1
0,8,14,1
0,9,14,1
0,10,13,1
0,10,14,1
0,11,14,1
0,12,14,1
0,13,10,1
0,13,15,1
0,14,7,1
0,14,8,1
0,14,9,1
0,14,10,1
0,14,11,1
0,14,12,1
0,14,15,1
0,14,16,1
0,14,17,2
0,15,13,1
0,15,14,1
0,16,14,1
0,17,4,2
0,17,14,2
1,0,1,1
1,0,2,1
1,0,5,0
1,0,6,1
1,0,7,1
1,0,8,1
1,0,9,0
1,0,22,2
1,1,0,1
1,2,0,1
1,2,3,1
1,2,4,1
1,3,2,1
1,4,2,1
1,5,0,0
1,6,0,1
1,7,0,1
1,8,0,1
1,9,0,0
1,10,14,1
1,10,16,1
1,11,16,1
1,12,16,1
1,13,16,1
1,14,10,1
1,15,16,1
1,16,10,1
1,16,11,1
1,16,12,1
1,16,13,1
1,16,15,1
1,16,22,2
1,17,18,0
1,17,19,1
1,17,20,1
1,17,21,1
1,17,22,2
1,18,17,0
1,19,17,1
1,19,20,1
1,20,17,1
1,20,19,1
1,21,17,1
1,22,0,2
1,22,16,2
1,22,17,2
2,0,6,0
2,0,59,2
2,1,4,1
2,2,4,1
2,3,6,1
2,4,1,1
2,4,2,1
2,4,6,0
2,4,7,1
2,4,11,1
2,4,12,0
2,5,6,0
2,6,0,0
2,6,3,1
2,6,4,0
2,6,5,0
2,6,9,1
2,7,4,1
2,8,12,1
2,9,6,1
2,10,11,1
2,11,4,1
2,11,10,1
2,12,4,0
2,12,8,1
2,13,16,0
2,13,17,1
2,13,18,1
2,13,19,0
2,13,22,0
2,14,15,1
2,14,19,1
2,15,14,1
2,15,19,0
2,15,20,1
2,15,24,1
2,16,13,0
2,17,13,1
2,18,13,1
2,19,13,0
2,19,14,1
2,19,15,0
2,19,21,1
2,19,23,1
2,19,26,1
2,19,27,1
2,20,15,1
2,21,19,1
2,22,13,0
2,22,59,2
2,23,19,1
2,24,15,1
2,25,26,1
2,26,19,1
2,26,25,1
2,27,19,1
2,28,33,0
2,28,57,2
2,29,38,1
2,30,31,1
2,30,33,0
2,30,36,1
2,30,38,0
2,30,39,1
2,31,30,1
2,32,34,1
2,33,28,0
2,33,30,0
2,33,34,0
2,33,35,1
2,34,32,1
2,34,33,0
2,35,33,1
2,35,37,1
2,35,40,1
2,36,30,1
2,37,35,1
2,38,29,1
2,38,30,0
2,39,30,1
2,40,35,1
2,41,49,0
2,41,57,2
2,42,47,1
2,43,49,0
2,44,49,1
2,45,49,1
2,46,50,1
2,47,42,1
2,47,51,0
2,48,51,1
2,49,41,0
2,49,43,0
2,49,44,1
2,49,45,1
2,49,50,1
2,49,51,0
2,50,46,1
2,50,49,1
2,50,53,1
2,51,47,0
2,51,48,1
2,51,49,0
2,51,52,1
2,51,54,1
2,51,55,1
2,52,51,1
2,53,50,1
2,54,51,1
2,55,51,1
2,56,57,1
2,57,28,2
2,57,41,2
2,57,56,1
2,58,59,1
2,59,0,2
2,59,22,2
2,59,58,1
3,0,3,1
3,1,6,1
3,2,6,1
3,3,0,1
3,3,5,1
3,3,6,1
3,4,6,1
3,5,3,1
3,5,7,1
3,6,1,1
3,6,2,1
3,6,3,1
3,6,4,1
3,6,8,1
3,7,5,1
3,8,6,1
3,9,13,1
3,10,13,1
3,11,14,1
3,12,13,1
3,13,9,1
3,13,10,1
3,13,12,1
3,13,14,1
3,14,11,1
3,14,13,1
3,15,18,1
3,16,18,1
3,17,18,1
3,18,15,1
3,18,16,1
3,18,17,1
4,0,3,1
4,1,5,1
4,2,3,1
4,3,0,1
4,3,2,1
4,3,4,1
4,3,5,1
4,3,6,1
4,3,15,2
4,4,3,1
4,5,1,1
4,5,3,1
4,6,3,1
4,7,8,1
4,7,9,1
4,7,10,1
4,7,12,1
4,7,13,1
4,7,15,2
4,8,7,1
4,9,7,1
4,10,7,1
4,11,13,1
4,12,7,1
4,13,7,1
4,13,11,1
4,14,15,0
4,15,3,2
4,15,7,2
4,15,14,0
5,0,5,1
5,1,3,1
5,1,6,1
5,1,10,0
5,1,47,2
5,2,8,1
5,3,1,1
5,4,5,1
5,5,0,1
5,5,4,1
5,5,10,0
5,6,1,1
5,7,10,1
5,8,2,1
5,8,10,0
5,8,11,1
5,9,10,0
5,10,1,0
5,10,5,0
5,10,7,1
5,10,8,0
5,10,9,0
5,11,8,1
5,12,14,0
5,12,15,1
5,12,16,1
5,12,21,1
5,13,14,1
5,14,12,0
5,14,13,1
5,14,17,0
5,14,20,0
5,14,47,2
5,15,12,1
5,16,12,1
5,17,14,0
5,18,20,1
5,19,20,1
5,20,14,0
5,20,18,1
5,20,19,1
5,21,12,1
5,22,26,0
5,22,28,0
5,22,31,0
5,22,32,1
5,22,34,0
5,23,28,1
5,24,28,1
5,25,26,1
5,26,22,0
5,26,25,1
5,26,27,1
5,26,45,2
5,27,26,1
5,28,22,0
5,28,23,1
5,28,24,1
5,28,33,1
5,29,31,1
5,30,31,1
5,31,22,0
5,31,29,1
5,31,30,1
5,32,22,1
5,33,28,1
5,34,22,0
5,35,36,0
5,35,40,1
5,35,42,0
5,35,43,0
5,35,45,2
5,36,35,0
5,37,43,1
5,38,43,1
5,39,42,1
5,40,35,1
5,41,42,1
5,42,35,0
5,42,39,1
5,42,41,1
5,43,35,0
5,43,37,1
5,43,38,1
5,44,45,1
5,45,26,2
5,45,35,2
5,45,44,1
5,46,47,1
5,47,1,2
5,47,14,2
5,47,46,1
6,0,4,1
6,1,2,1
6,2,1,1
6,2,3,1
6,2,4,0
6,3,2,1
6,4,0,1
6,4,2,0
6,4,14,2
6,5,10,1
6,6,10,1
6,7,9,1
6,7,10,1
6,8,10,1
6,9,7,1
6,10,5,1
6,10,6,1
6,10,7,1
6,10,8,1
6,10,13,2
6,11,13,1
6,12,14,1
6,13,10,2
6,13,11,1
6,13,16,2
6,14,4,2
6,14,12,1
6,14,15,2
6,15,14,2
6,16,13,2
7,0,4,1
7,1,4,1
7,2,4,1
7,2,5,1
7,3,4,1
7,3,5,1
7,4,0,1
7,4,1,1
7,4,2,1
7,4,3,1
7,4,6,1
7,4,16,2
7,5,2,1
7,5,3,1
7,6,4,1
7,7,8,1
7,7,12,1
7,7,13,1
7,7,14,1
7,8,7,1
7,8,10,1
7,9,10,1
7,10,8,1
7,10,9,1
7,10,11,1
7,10,12,1
7,10,13,1
7,10,14,1
7,10,16,2
7,11,10,1
7,12,7,1
7,12,10,1
7,12,13,1
7,13,7,1
7,13,10,1
7,13,12,1
7,14,7,1
7,14,10,1
7,15,16,2
7,16,4,2
7,16,10,2
7,16,15,2
7,16,17,0
7,17,16,0
8,0,4,1
8,0,6,1
8,1,7,1
8,2,7,1
8,2,8,1
8,3,7,1
8,4,0,1
8,4,7,1
8,5,7,1
8,6,0,1
8,6,7,0
8,7,1,1
8,7,2,1
8,7,3,1
8,7,4,1
8,7,5,1
8,7,6,0
8,7,9,1
8,7,57,2
8,8,2,1
8,9,7,1
8,10,13,1
8,10,14,1
8,11,16,1
8,12,16,1
8,13,10,1
8,13,16,1
8,14,10,1
8,14,16,0
8,15,19,1
8,16,11,1
8,16,12,1
8,16,13,1
8,16,14,0
8,16,17,1
8,16,18,1
8,16,19,1
8,16,59,2
8,17,16,1
8,18,16,1
8,19,15,1
8,19,16,1
8,20,28,1
8,21,28,1
8,22,28,1
8,23,25,1
8,23,28,1
8,24,28,1
8,25,23,1
8,25,27,1
8,26,28,1
8,27,25,1
8,27,28,0
8,28,20,1
8,28,21,1
8,28,22,1
8,28,23,1
8,28,24,1
8,28,26,1
8,28,27,0
8,28,29,1
8,28,55,2
8,29,28,1
8,30,31,1
8,30,32,0
8,30,33,1
8,30,34,1
8,30,35,1
8,30,57,2
8,31,30,1
8,31,36,1
8,32,30,0
8,32,36,1
8,33,30,1
8,34,30,1
8,35,30,1
8,36,31,1
8,36,32,1
8,37,38,1
